Fecha;Mes;Año;Localidad;Lluvia (mm)
6/1/2020;6;2020;Gral Pueyrredon;0
6/2/2020;6;2020;Gral Pueyrredon;0
6/3/2020;6;2020;Gral Pueyrredon;0
6/4/2020;6;2020;Gral Pueyrredon;0
6/5/2020;6;2020;Gral Pueyrredon;0
6/6/2020;6;2020;Gral Pueyrredon;0
6/7/2020;6;2020;Gral Pueyrredon;0
6/8/2020;6;2020;Gral Pueyrredon;0
6/9/2020;6;2020;Gral Pueyrredon;0
6/10/2020;6;2020;Gral Pueyrredon;0
6/11/2020;6;2020;Gral Pueyrredon;0
6/12/2020;6;2020;Gral Pueyrredon;5
06/13/2020;6;2020;Gral Pueyrredon;7
06/14/2020;6;2020;Gral Pueyrredon;0
06/15/2020;6;2020;Gral Pueyrredon;0
06/16/2020;6;2020;Gral Pueyrredon;0
06/17/2020;6;2020;Gral Pueyrredon;25
06/18/2020;6;2020;Gral Pueyrredon;0
06/19/2020;6;2020;Gral Pueyrredon;0
06/20/2020;6;2020;Gral Pueyrredon;0
06/21/2020;6;2020;Gral Pueyrredon;0
06/22/2020;6;2020;Gral Pueyrredon;8
06/23/2020;6;2020;Gral Pueyrredon;0
06/24/2020;6;2020;Gral Pueyrredon;0
06/25/2020;6;2020;Gral Pueyrredon;0.4
06/26/2020;6;2020;Gral Pueyrredon;0.5
06/27/2020;6;2020;Gral Pueyrredon;1
06/28/2020;6;2020;Gral Pueyrredon;0
06/29/2020;6;2020;Gral Pueyrredon;0.3
06/30/2020;6;2020;Gral Pueyrredon;0.1
7/1/2020;7;2020;Gral Pueyrredon;0.4
7/2/2020;7;2020;Gral Pueyrredon;0
7/3/2020;7;2020;Gral Pueyrredon;3
7/4/2020;7;2020;Gral Pueyrredon;0
7/5/2020;7;2020;Gral Pueyrredon;0
7/6/2020;7;2020;Gral Pueyrredon;0.3
7/7/2020;7;2020;Gral Pueyrredon;0
7/8/2020;7;2020;Gral Pueyrredon;0.5
7/9/2020;7;2020;Gral Pueyrredon;0.6
7/10/2020;7;2020;Gral Pueyrredon;3
7/11/2020;7;2020;Gral Pueyrredon;0
7/12/2020;7;2020;Gral Pueyrredon;0
07/13/2020;7;2020;Gral Pueyrredon;0.3
07/14/2020;7;2020;Gral Pueyrredon;0
07/15/2020;7;2020;Gral Pueyrredon;0
07/16/2020;7;2020;Gral Pueyrredon;0
07/17/2020;7;2020;Gral Pueyrredon;0
07/18/2020;7;2020;Gral Pueyrredon;0
07/19/2020;7;2020;Gral Pueyrredon;4
07/20/2020;7;2020;Gral Pueyrredon;4
07/21/2020;7;2020;Gral Pueyrredon;18
07/22/2020;7;2020;Gral Pueyrredon;27
07/23/2020;7;2020;Gral Pueyrredon;5
07/24/2020;7;2020;Gral Pueyrredon;0
07/25/2020;7;2020;Gral Pueyrredon;0
07/26/2020;7;2020;Gral Pueyrredon;0
07/27/2020;7;2020;Gral Pueyrredon;0
07/28/2020;7;2020;Gral Pueyrredon;0
07/29/2020;7;2020;Gral Pueyrredon;0
07/30/2020;7;2020;Gral Pueyrredon;0
07/31/2020;7;2020;Gral Pueyrredon;0
8/1/2020;8;2020;Gral Pueyrredon;0
8/2/2020;8;2020;Gral Pueyrredon;0
8/3/2020;8;2020;Gral Pueyrredon;0
8/4/2020;8;2020;Gral Pueyrredon;0
8/5/2020;8;2020;Gral Pueyrredon;0
8/6/2020;8;2020;Gral Pueyrredon;0
8/7/2020;8;2020;Gral Pueyrredon;0
8/8/2020;8;2020;Gral Pueyrredon;0
8/9/2020;8;2020;Gral Pueyrredon;3
8/10/2020;8;2020;Gral Pueyrredon;0.1
8/11/2020;8;2020;Gral Pueyrredon;0
8/12/2020;8;2020;Gral Pueyrredon;0
08/13/2020;8;2020;Gral Pueyrredon;0
08/14/2020;8;2020;Gral Pueyrredon;0
08/15/2020;8;2020;Gral Pueyrredon;0
08/16/2020;8;2020;Gral Pueyrredon;0
08/17/2020;8;2020;Gral Pueyrredon;0
08/18/2020;8;2020;Gral Pueyrredon;0.2
08/19/2020;8;2020;Gral Pueyrredon;0.5
08/20/2020;8;2020;Gral Pueyrredon;0
08/21/2020;8;2020;Gral Pueyrredon;0
08/22/2020;8;2020;Gral Pueyrredon;0
08/23/2020;8;2020;Gral Pueyrredon;0
08/24/2020;8;2020;Gral Pueyrredon;0
08/25/2020;8;2020;Gral Pueyrredon;14
08/26/2020;8;2020;Gral Pueyrredon;6
08/27/2020;8;2020;Gral Pueyrredon;0
08/28/2020;8;2020;Gral Pueyrredon;0
08/29/2020;8;2020;Gral Pueyrredon;0
08/30/2020;8;2020;Gral Pueyrredon;0
08/31/2020;8;2020;Gral Pueyrredon;0
9/1/2020;9;2020;Gral Pueyrredon;0
9/2/2020;9;2020;Gral Pueyrredon;7
9/3/2020;9;2020;Gral Pueyrredon;0
9/4/2020;9;2020;Gral Pueyrredon;0
9/5/2020;9;2020;Gral Pueyrredon;0
9/6/2020;9;2020;Gral Pueyrredon;0
9/7/2020;9;2020;Gral Pueyrredon;0
9/8/2020;9;2020;Gral Pueyrredon;0
9/9/2020;9;2020;Gral Pueyrredon;0
9/10/2020;9;2020;Gral Pueyrredon;6
9/11/2020;9;2020;Gral Pueyrredon;0
9/12/2020;9;2020;Gral Pueyrredon;0
09/13/2020;9;2020;Gral Pueyrredon;0
09/14/2020;9;2020;Gral Pueyrredon;0
09/15/2020;9;2020;Gral Pueyrredon;0
09/16/2020;9;2020;Gral Pueyrredon;0
09/17/2020;9;2020;Gral Pueyrredon;0
09/18/2020;9;2020;Gral Pueyrredon;0.3
09/19/2020;9;2020;Gral Pueyrredon;0
09/20/2020;9;2020;Gral Pueyrredon;0
09/21/2020;9;2020;Gral Pueyrredon;0
09/22/2020;9;2020;Gral Pueyrredon;0
09/23/2020;9;2020;Gral Pueyrredon;0
09/24/2020;9;2020;Gral Pueyrredon;0
09/25/2020;9;2020;Gral Pueyrredon;0
09/26/2020;9;2020;Gral Pueyrredon;14
09/27/2020;9;2020;Gral Pueyrredon;8
09/28/2020;9;2020;Gral Pueyrredon;0
09/29/2020;9;2020;Gral Pueyrredon;0
09/30/2020;9;2020;Gral Pueyrredon;1
10/1/2020;10;2020;Gral Pueyrredon;0
10/2/2020;10;2020;Gral Pueyrredon;0
10/3/2020;10;2020;Gral Pueyrredon;0
10/4/2020;10;2020;Gral Pueyrredon;20
10/5/2020;10;2020;Gral Pueyrredon;0
10/6/2020;10;2020;Gral Pueyrredon;0
10/7/2020;10;2020;Gral Pueyrredon;0
10/8/2020;10;2020;Gral Pueyrredon;0
10/9/2020;10;2020;Gral Pueyrredon;0
10/10/2020;10;2020;Gral Pueyrredon;11
10/11/2020;10;2020;Gral Pueyrredon;20
10/12/2020;10;2020;Gral Pueyrredon;0
10/13/2020;10;2020;Gral Pueyrredon;0
10/14/2020;10;2020;Gral Pueyrredon;0
10/15/2020;10;2020;Gral Pueyrredon;0
10/16/2020;10;2020;Gral Pueyrredon;0
10/17/2020;10;2020;Gral Pueyrredon;0
10/18/2020;10;2020;Gral Pueyrredon;18
